2022-07-07T17:51:28+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T17:51:32+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T17:51:32+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T17:51:38+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T17:51:42+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T17:51:42+00:00 CRITICAL syntax error, unexpected '$nombre_accion' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 18

2022-07-07T18:30:25+00:00 CRITICAL syntax error, unexpected 'Name' (T_STRING) en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 3

2022-07-07T18:30:29+00:00 CRITICAL syntax error, unexpected 'Name' (T_STRING) en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 3

2022-07-07T18:30:29+00:00 CRITICAL syntax error, unexpected 'Name' (T_STRING) en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 3

2022-07-07T18:59:15+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T18:59:19+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

2022-07-07T18:59:19+00:00 CRITICAL syntax error, unexpected '$archivo' (T_VARIABLE), expecting ')' en C:\xampp\htdocs\wordpress\wp-content\plugins\actualizacionVentas.php en la línea 28

